Nazwa,Cena,Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony,VAT marża,Gwarancja dealerska (w cenie),Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,Autonomia
BMW Seria 3 330d,21 900,Prywatne,Tak,Tak,BMW,Seria 3,330d,E46 (1998-2007),2003,436 000 km,2 993 cm3,Diesel,204 KM,Manualna,Na tylne koła,5.0 l/100km,9 l/100km,Sedan,177 g/km,4,5,Czarny,Metalik,Szwajcaria,06 czerwiec 2003,WL7585R,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 328i Sport Line,77 600,Prywatne,Tak,Tak,BMW,Seria 3,328i Sport Line,F30/F31 (2012-2020),2016,92 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),,"8,30 l/100km",Sedan,,4,,Granatowy,Metalik,Stany Zjednoczone,styczeń 2016,SZO5EC5,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive Luxury Line,29 999,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive Luxury Line,E90/E91/E92/E93 (2005-2012),2012,288 000 km,1 995 cm3,Diesel,184 KM,Manualna,4x4 (stały),4.0 l/100km,6 l/100km,Kombi,129 g/km,5,5,Czarny,Perłowy,Austria,09 styczeń 2012,KN5472H,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 330d Touring M Sport,69 900,Prywatne,Tak,,BMW,Seria 3,330d Touring M Sport,F30/F31 (2012-2020),2013,189 800 km,2 993 cm3,Diesel,258 KM,Automatyczna,Na tylne koła,,"6,70 l/100km",Kombi,,5,,Inny kolor,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,58 500,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2010,209 000 km,2 996 cm3,Benzyna,218 KM,Automatyczna,Na tylne koła,,,Sedan,,4,,Szary,,Szwajcaria,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive M Sport Shadow sport,125 000,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive M Sport Shadow sport,G20/G21 (2019-),2019,105 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),,5 l/100km,Sedan,,5,5,Czarny,Perłowy,Polska,20 styczeń 2020,MPAKIET,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,,,,,,,,,,,,
BMW Seria 3,38 900,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2012,226 500 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,,,,Tak,Tak,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 330i xDrive Advantage,130 000,Prywatne,Tak,,BMW,Seria 3,330i xDrive Advantage,G20/G21 (2019-),2020,20 000 km,1 998 cm3,Benzyna,258 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,4,,Biały,,Stany Zjednoczone,,,Tak,,Używane,Wyświetl VIN,,,,,9 l/100km,,,,,,,,,,,,,,
BMW Seria 3,21 500,Prywatne,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2006,185 000 km,1 995 cm3,Benzyna,150 KM,Automatyczna,Na tylne koła,,10 l/100km,Kombi,,5,5,Czarny,,,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,36 900,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2011,243 414 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,5,5,Czarny,Metalik,Niemcy,12 grudzień 2011,SDSX,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
